date, pnl, longsize, shortsize, ret, holdpnl, tradepnl, poscov, negcov, pospnl, negpnl, IC, index_ret,rankpnl1, rankpnl2, rankpnl3, rankpnl4, rankpnl5, rankpnl6, rankpnl7, rankpnl8, rankpnl9, rankpnl10
20210527,-81808.49,10000000.0,-10000000.0,-0.00409,-31881.370266621077,-49716.80591109012,1016,3174,-16071.25,-60253.74,-0.016883,3608.8507,3.319295,3.415843,5.224624,5.097129,3.881376,4.02077,1.815812,2.135444,2.43862,3.509566
20210528,24429.79,10000000.0,-10000000.0,0.001221,-28882.013231063112,53510.86787117986,1013,3178,8110.37,20145.76,-0.012174,3600.7844,-1.092827,-0.625127,-0.880208,-1.035331,-2.008452,-1.356452,-1.312618,-1.567057,-1.762873,-1.39077
20210531,-120597.49,10000000.0,-10000000.0,-0.00603,-37665.27126369414,-82701.57682232282,1011,3184,-22504.27,-89257.24,-0.017647,3615.4773,4.155639,5.168005,6.367903,4.822319,6.221007,5.62375,5.410598,4.810293,4.761555,3.737072
20210601,-83831.52,10000000.0,-10000000.0,-0.004192,11538.46165856636,-95050.4270805095,1019,3178,-20984.26,-56346.38,0.007124,3624.7138,4.266825,2.628239,3.062996,2.465495,3.286565,3.364155,3.523234,4.623697,3.859854,4.187945
20210602,33704.9,10000000.0,-10000000.0,0.001685,19673.79698016688,14284.935256518904,1016,3182,9853.5,49037.1,0.002107,3597.1379,-3.252031,-2.474264,-1.620002,-2.807103,-3.571815,-3.167338,-3.49777,-3.563284,-1.329608,-1.803345
20210603,-8254.07,10000000.0,-10000000.0,-0.000413,18774.78936987753,-26752.825570075816,1024,3179,-3300.92,3258.4,0.004095,3584.2121,1.811096,-0.358371,0.578591,-0.847152,-0.627661,-0.822262,-0.503788,-0.876976,0.769669,0.76991
20210604,2668.81,10000000.0,-10000000.0,0.000133,-28770.896448141226,31688.917155506802,1033,3174,4673.39,-2488.06,-0.016176,3591.8447,-1.108178,0.389771,0.565984,0.546879,0.848926,0.432946,0.249508,-1.036217,-0.777029,-1.227546
20210607,-94487.64,10000000.0,-10000000.0,-0.004724,19763.33079887526,-114020.61720209543,1035,3173,-19229.39,-55673.74,0.003861,3599.541,1.832882,2.264036,2.362214,5.611738,4.745548,2.802458,4.249706,3.636883,3.243641,3.44902
20210608,-8270.35,10000000.0,-10000000.0,-0.000414,52377.62503194545,-60381.56886712111,1044,3169,-5429.92,9942.35,0.009646,3580.1063,-0.149827,0.040916,0.002403,-1.107909,-1.787888,-1.339434,-0.423746,0.164254,0.878143,1.534507
20210609,-35332.38,10000000.0,-10000000.0,-0.001767,55382.711375811225,-90453.61809586719,1049,3168,-10328.89,-16633.3,0.014581,3591.3965,2.016008,0.128662,1.090655,1.469021,0.719431,0.981034,0.529816,0.979597,1.315733,2.99825
